,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603890,春秋电子,,,1.52,30.12,0.38,3527.29,,,03-31
1,300633,开立医疗,,,,20.87,,7064.91,-45.63,,03-16
2,300629,新劲刚,0.56,36.59,,21.35,,2800.06,36.66,,03-09
3,300631,久吾高科,1.42,23.82,5.29,30.79,1.14,6840.47,23.83,,03-09
4,002857,三晖电气,0.46,-14.81,2.18,22.87,-0.58,2745.25,38.2,,03-08
5,603656,泰禾光电,1.04,38.67,3.29,36.81,0.94,5914.51,48.49,,03-07
6,001979,招商蛇口,0.51,0.0,,20.7,,278623.87,0.23,,03-06
7,603517,绝味食品,0.54,28.57,,27.17,0.53,19281.53,27.0,,02-27
8,300623,捷捷微电,0.95,7.95,4.71,20.61,0.91,6623.72,7.32,,02-22
9,002882,金龙羽,,,,14.21,0.69,7237.95,7.58,,02-17
10,603178,圣龙股份,0.3,-37.5,1.87,22.94,0.47,4264.79,8.31,,02-14
11,300722,新余国科,,,2.64,23.55,0.35,1775.28,,,02-03
12,603238,诺邦股份,0.44,15.79,6.4,22.6,2.19,3947.28,14.7,,01-26
13,300612,宣亚国际,0.28,47.37,2.01,15.02,0.56,1253.43,50.12,,01-25
14,300611,美力科技,0.54,63.64,2.84,20.78,0.48,2739.87,63.98,,01-25
15,300615,欣天科技,0.87,27.94,2.12,50.23,0.76,5225.6,29.98,,01-25
16,603345,安井食品,0.64,10.34,3.51,20.15,0.89,10406.37,10.12,,01-24
17,603955,大千生态,0.88,,7.31,12.74,-2.43,4567.82,,,01-23
18,603817,海峡环保,,,1.77,15.8,0.47,7983.95,36.93,,01-23
19,603330,上海天洋,0.73,,4.89,16.19,0.49,3294.9,9.86,,01-23
20,300735,光弘科技,,,,9.79,,3749.9,,,01-20
21,603078,江化微,,,5.21,7.69,1.69,1928.72,-23.64,,01-20
22,002875,安奈儿,,,,36.8,0.27,5611.51,42.28,,01-20
23,603180,金牌厨柜,0.59,34.09,2.49,22.77,2.0,3075.99,33.87,,01-20
24,300608,思特奇,0.9,164.71,4.61,21.57,1.91,3921.67,162.63,,01-20
25,300607,拓斯达,0.66,26.92,19.23,50.95,1.73,3237.6,28.95,,01-19
26,603040,新坐标,0.82,34.43,3.75,26.91,0.65,3703.93,35.88,,01-19
27,300635,达安股份,0.76,28.81,2.94,28.4,-0.44,4287.47,32.5,,01-18
28,300695,兆丰股份,1.04,48.57,7.14,15.64,1.79,5175.26,48.25,,01-18
29,300609,汇纳科技,0.35,29.63,1.84,21.13,0.09,2634.83,41.26,,01-18
30,300610,晨化股份,0.47,-26.56,3.46,14.95,0.5,3494.91,-14.82,,01-17
31,603615,茶花股份,0.56,3.89,,19.61,0.65,10105.75,5.12,,01-17
32,603677,奇精机械,1.26,,4.3,34.65,0.61,6324.82,98.92,,01-16
33,002848,高斯贝尔,0.46,-11.36,,13.03,0.3,5772.9,-11.34,,01-16
34,603208,江山欧派,0.86,32.31,3.96,23.69,1.4,5230.18,32.34,,01-16
35,603839,安正时尚,1.18,0.85,,32.1,1.67,25196.19,1.63,,01-16
